n_subs,rank,genotype,mu_real,sigma_real
7,1,4-4-0-0-0-0-0-0-0-0-0-4-4-4-4-4,414.56647,16.626387
7,2,4-4-4-4-4-0-0-0-0-0-0-0-0-0-4-4,414.56647,16.626387
7,3,4-4-0-0-0-0-0-0-0-0-0-3-4-4-4-4,413.48734,15.705346
7,4,4-4-4-4-3-0-0-0-0-0-0-0-0-0-4-4,413.48734,15.705346
7,5,4-0-4-0-0-0-0-0-0-0-0-4-4-4-4-4,413.2062,14.64278
7,6,4-4-4-4-4-0-0-0-0-0-0-0-0-4-0-4,413.2062,14.64278
7,7,4-4-4-4-4-0-4-0-0-0-0-0-0-0-0-4,412.94702,15.165209
7,8,4-4-4-4-0-0-0-0-0-0-0-0-0-4-4-4,412.19128,15.6782875
7,9,4-4-4-0-0-0-0-0-0-0-0-0-4-4-4-4,412.19128,15.6782875
7,10,4-4-4-0-0-0-0-0-0-0-0-4-0-4-4-4,412.16385,15.417036
7,11,4-4-4-0-3-0-0-0-0-0-0-0-0-4-4-4,411.75537,14.737879
7,12,4-4-4-0-0-0-0-0-0-0-0-2-0-4-4-4,411.49725,15.188459
7,13,4-4-4-0-0-0-0-0-0-0-0-4-4-4-0-4,411.40137,15.207907
7,14,4-0-4-4-4-0-0-0-0-0-0-0-0-4-4-4,411.40137,15.207907
7,15,4-0-0-0-0-0-0-0-0-4-0-2-4-4-4-4,411.05292,14.706021
7,16,4-0-4-4-4-0-4-0-0-0-0-0-0-0-4-4,410.88116,16.243254
7,17,4-4-4-2-0-0-0-0-0-0-0-0-0-4-4-4,410.84943,14.902903
7,18,4-4-4-4-4-0-0-0-0-0-0-3-0-0-0-4,410.83398,14.953593
7,19,4-0-0-0-3-0-0-0-0-0-0-4-4-4-4-4,410.83398,14.953593
7,20,4-0-2-0-0-0-0-0-0-0-0-4-4-4-4-4,410.78662,14.057009
7,21,0-0-4-0-0-0-0-0-0-4-0-3-4-4-4-4,410.64685,11.772709
7,22,4-0-4-4-3-0-0-0-0-0-0-0-0-4-4-4,410.4431,13.952439
7,23,4-0-4-0-0-0-0-0-0-0-0-4-4-3-4-4,410.1558,14.3375025
7,24,4-3-0-0-0-0-0-0-0-0-0-4-3-4-4-4,410.15018,14.436978
7,25,4-4-0-0-4-0-0-0-0-0-0-4-4-4-0-4,410.13016,16.541018
7,26,4-4-0-0-0-0-0-0-0-0-0-4-4-2-4-4,410.04132,16.003563
7,27,4-4-0-0-0-0-0-0-0-0-0-3-4-4-2-4,409.93225,15.274113
7,28,4-4-4-1-0-0-0-0-0-0-0-0-0-4-4-4,409.87036,15.035527
7,29,4-0-0-0-0-0-0-0-0-2-0-2-4-4-4-4,409.79413,14.006507
7,30,4-4-4-0-0-0-0-0-0-0-0-4-4-0-4-4,409.78494,16.450306
7,31,4-4-3-0-0-0-0-0-0-0-0-4-0-4-4-4,409.7784,15.169368
7,32,4-4-0-0-3-0-0-0-0-0-0-4-4-4-0-4,409.6903,15.360816
7,33,4-4-4-0-0-0-0-0-0-0-0-1-0-4-4-4,409.63824,15.737826
7,34,4-4-3-0-0-0-0-0-0-0-0-0-4-4-4-4,409.57846,15.463846
7,35,4-4-4-0-4-0-0-0-0-0-0-0-0-4-3-4,409.5352,14.365525
7,36,4-0-0-0-0-0-0-0-3-0-0-4-4-4-4-4,409.51892,12.424338
7,37,4-4-0-0-4-0-0-0-0-0-0-4-4-0-4-4,409.37576,17.618717
7,38,4-0-4-3-4-0-0-0-0-0-0-0-0-4-4-4,409.35092,14.387411
7,39,4-4-4-4-4-0-3-0-0-0-0-0-0-0-4-0,409.3066,13.504925
7,40,4-4-4-4-4-2-0-0-0-0-0-0-0-0-0-4,409.20294,14.10695
7,41,0-3-0-0-0-0-0-0-0-4-0-4-4-4-4-4,409.1507,13.722606
7,42,4-0-0-0-0-0-0-0-0-2-0-4-3-4-4-4,409.1258,13.548891
7,43,4-0-0-0-0-0-0-0-0-4-4-3-4-0-4-4,409.09558,13.773449
7,44,4-4-4-0-0-0-0-1-0-0-0-0-0-4-4-4,409.00153,13.894746
7,45,4-0-0-4-4-0-0-0-0-0-0-4-4-0-4-4,408.994,17.611166
7,46,4-3-4-0-2-0-0-0-0-0-0-0-0-4-4-4,408.98395,14.424616
7,47,4-4-4-0-0-0-0-2-0-0-0-0-0-4-4-4,408.96323,12.030592
7,48,4-4-4-0-0-0-0-0-3-0-0-0-0-4-4-4,408.9199,11.612047
7,49,4-4-4-0-0-0-0-0-4-0-0-0-0-4-4-4,408.91986,10.681291
7,50,4-4-0-0-4-0-0-0-0-0-0-3-4-4-0-4,408.913,15.278235
7,51,4-4-0-4-3-0-0-0-0-0-0-0-0-4-4-4,408.8977,15.54239
7,52,4-4-4-4-4-0-0-0-0-0-0-1-0-0-0-4,408.87073,15.334638
7,53,4-0-4-0-0-0-0-0-0-3-0-4-4-0-4-4,408.64993,14.175071
7,54,4-4-3-0-3-0-0-0-0-0-0-0-0-4-4-4,408.62094,14.424561
7,55,4-4-4-0-0-0-2-0-0-0-0-0-0-4-4-4,408.55032,15.355672
7,56,4-4-4-4-0-0-0-0-0-0-0-4-0-4-0-4,408.53668,15.328414
7,57,4-4-0-4-0-0-0-0-0-0-0-4-0-4-4-4,408.51608,16.686514
7,58,4-2-4-0-0-0-0-0-0-0-0-4-0-4-4-4,408.47476,15.032841
7,59,4-4-3-4-3-0-0-0-0-0-0-0-0-0-3-4,408.4672,14.030985
7,60,4-4-4-0-0-1-0-0-0-0-0-0-0-4-4-4,408.44153,14.71883
7,61,4-0-0-1-0-0-0-0-0-0-0-4-4-4-4-4,408.4091,14.21435
7,62,4-0-4-0-4-0-0-0-0-0-0-4-0-4-4-4,408.351,15.364229
7,63,4-4-0-0-4-0-0-0-0-0-0-3-4-0-4-4,408.28122,16.62376
7,64,4-4-4-3-0-0-0-0-0-0-0-0-0-4-3-4,408.266,13.522593
7,65,4-4-2-4-4-0-0-0-0-0-0-0-0-0-3-4,408.08334,14.6728325
7,66,4-0-3-0-0-0-0-0-0-4-0-4-4-0-4-4,408.0695,14.817056
7,67,4-4-4-0-3-0-0-0-0-0-0-0-0-2-4-4,408.03348,14.139971
7,68,4-4-3-0-0-0-0-0-0-0-0-4-4-0-4-4,408.0272,16.224028
7,69,4-4-4-0-3-0-0-0-0-0-0-0-0-4-2-4,407.96997,14.250502
7,70,4-4-0-0-0-0-0-0-3-0-0-4-4-4-0-4,407.9635,13.008831
7,71,4-0-4-0-3-0-0-0-0-0-0-0-4-4-4-4,407.94342,13.888149
7,72,4-4-3-0-0-0-0-0-0-0-0-0-2-4-4-4,407.91794,14.680757
7,73,0-0-4-0-0-0-0-0-0-4-4-4-4-0-4-4,407.88333,12.851056
7,74,4-0-4-0-0-0-0-0-0-0-0-4-3-3-4-4,407.85278,13.501442
7,75,4-4-0-4-3-0-0-0-0-0-0-4-4-0-0-4,407.84808,16.464241
7,76,4-4-4-0-3-0-0-0-0-0-0-0-4-0-4-4,407.8368,15.692857
7,77,4-4-0-4-2-0-0-0-0-0-0-4-0-4-0-4,407.81494,15.945069
7,78,0-4-4-0-0-0-0-0-0-0-0-4-4-4-4-4,407.8108,13.749608
7,79,4-4-4-4-4-0-0-0-0-0-0-0-0-4-4-0,407.8108,13.749608
7,80,4-0-4-0-3-0-0-0-0-0-0-4-0-4-4-4,407.78928,14.107234
7,81,4-0-4-4-4-0-0-0-0-2-0-0-0-0-4-4,407.75775,15.371281
