n_subs,rank,genotype,mu_real,sigma_real
7,1,0-0-0-0-0-0-0-4-4-0-0-3-4-4-4-4,410.86932,8.373888
7,2,0-0-0-0-0-0-0-4-4-4-4-0-4-0-4-4,408.8973,8.135988
7,3,0-0-0-0-0-0-0-4-4-3-0-4-4-0-4-4,409.5927,8.857074
7,4,0-0-0-0-0-0-0-4-4-4-0-4-4-0-4-4,410.4646,9.751009
7,5,0-0-0-0-0-0-0-4-4-3-4-0-4-0-4-4,407.53143,6.912199
7,6,0-0-0-0-0-0-0-4-4-0-0-3-4-3-4-4,408.66846,8.065121
7,7,0-0-0-0-0-0-0-4-4-0-0-4-4-3-4-4,409.73026,9.170114
7,8,0-0-0-0-0-0-0-4-2-0-0-3-4-4-4-4,408.38858,8.138037
7,9,0-0-0-0-0-0-0-4-4-4-4-0-3-0-4-4,407.45645,7.2618356
7,10,0-0-0-0-0-0-0-2-4-0-0-4-4-4-4-4,409.7776,9.673085
7,11,0-0-0-0-0-0-0-4-4-3-4-0-0-4-4-4,405.82294,5.828535
7,12,0-0-0-0-0-0-0-4-4-0-0-4-4-4-3-4,408.82257,8.901561
7,13,0-0-0-0-0-0-0-4-4-4-4-3-0-0-4-4,406.3258,6.5039735
7,14,0-0-0-0-0-0-0-4-4-0-4-3-4-0-4-4,406.6587,6.869987
7,15,0-0-0-0-0-0-0-4-4-3-3-0-4-0-4-4,406.56845,6.880273
7,16,0-0-0-0-0-0-0-4-4-3-0-2-4-0-4-4,407.936,8.448197
7,17,0-0-0-0-0-0-0-4-4-4-0-4-3-0-4-4,408.0608,8.619763
7,18,0-0-0-0-0-0-0-4-4-0-4-4-4-0-4-4,407.476,8.056571
7,19,0-0-0-0-0-0-0-4-3-4-0-3-4-0-4-4,407.78278,8.434339
7,20,0-0-0-0-0-0-0-4-4-4-3-0-0-4-4-4,406.1125,7.013362
7,21,0-0-0-0-0-0-0-0-4-4-4-4-4-0-4-4,407.88083,8.817498
7,22,0-0-0-0-0-0-0-4-4-0-3-4-4-0-4-4,407.0705,8.035763
7,23,0-0-0-0-0-0-0-4-4-2-4-0-0-4-4-4,404.8738,6.0226474
7,24,0-0-0-0-0-0-0-3-4-4-4-0-3-0-4-4,405.3546,6.522018
7,25,0-0-0-0-0-0-0-4-4-4-3-4-0-0-4-4,406.00006,7.1744356
7,26,0-0-0-0-0-0-0-4-4-0-3-0-4-4-4-4,405.29266,6.5766478
7,27,0-0-0-0-0-0-0-4-4-0-4-2-4-0-4-4,406.12866,7.460662
7,28,0-0-0-0-0-0-0-0-4-2-0-3-4-4-4-4,406.29916,7.7923636
7,29,0-0-0-0-0-0-0-0-4-0-4-3-4-4-4-4,405.17352,6.686135
7,30,0-0-0-0-0-0-0-4-4-0-0-3-3-2-4-4,405.20636,6.791995
7,31,0-0-0-0-0-0-0-4-3-3-4-0-0-4-4-4,404.3128,5.9129815
7,32,0-0-0-0-0-0-0-4-4-4-0-4-0-4-4-4,406.64096,8.293368
7,33,0-0-0-0-0-0-0-0-4-4-3-4-4-0-4-4,407.0496,8.735485
7,34,4-4-0-0-0-0-0-4-4-0-0-0-0-4-4-4,409.23114,10.998236
7,35,0-0-0-0-0-0-0-4-4-4-4-0-1-0-4-4,404.9032,6.697416
7,36,0-0-0-0-0-0-0-4-3-3-4-3-0-0-4-4,403.36182,5.3499
7,37,0-0-0-0-0-4-0-4-4-3-4-0-0-0-4-4,402.63782,4.6508603
7,38,0-0-0-0-0-0-0-3-4-2-4-0-4-0-4-4,404.50372,6.5296116
7,39,0-0-0-0-0-0-0-4-4-3-2-3-0-0-4-4,403.5504,5.600393
7,40,0-0-0-0-0-0-0-4-4-4-2-4-0-0-4-4,405.43134,7.517883
7,41,0-0-0-0-0-3-0-4-4-3-4-0-0-0-4-4,402.4411,4.5661817
7,42,0-0-0-0-0-0-0-4-4-0-0-4-4-4-4-3,405.64963,7.824664
7,43,0-0-0-0-0-0-0-4-4-3-3-0-0-2-4-4,402.98462,5.1991954
7,44,4-0-0-0-0-0-0-4-4-3-4-0-0-0-4-4,406.32794,8.583792
7,45,0-0-0-0-0-0-0-0-4-4-0-2-4-4-4-4,406.96704,9.359644
7,46,0-0-0-0-0-0-0-4-4-2-0-4-4-0-3-4,406.08234,8.587534
7,47,0-0-0-0-0-0-0-4-4-2-0-4-0-4-4-4,405.07285,7.63417
7,48,0-0-0-0-0-0-0-4-4-3-0-0-4-4-4-4,405.83832,8.3997
7,49,0-0-0-0-0-4-0-4-4-4-3-0-0-0-4-4,403.09543,5.6731
7,50,4-0-0-0-0-0-0-4-4-0-0-4-4-0-4-4,408.57428,11.215924
7,51,0-0-0-0-0-0-0-4-4-2-3-4-0-0-4-4,403.6899,6.399708
7,52,0-0-0-0-0-0-0-4-0-3-0-3-4-4-3-4,403.97845,6.6938167
7,53,0-0-0-0-0-0-0-4-4-3-0-2-0-4-4-4,404.34308,7.085305
7,54,0-0-0-0-0-0-0-4-4-4-4-2-4-0-0-4,405.67218,8.471063
7,55,0-0-0-0-0-0-0-4-0-2-0-2-4-4-4-4,405.5402,8.356578
7,56,4-0-0-0-0-0-0-4-4-0-0-3-0-4-4-4,406.3016,9.130507
7,57,0-0-0-0-0-0-0-0-4-3-0-3-4-3-4-4,404.36078,7.203838
7,58,0-0-4-0-0-0-0-4-0-0-0-3-4-4-4-4,404.65945,7.503301
7,59,4-0-0-0-0-0-0-4-0-0-0-3-4-4-4-4,407.313,10.1606045
7,60,4-0-4-0-0-0-0-2-4-0-0-0-0-4-4-4,406.42844,9.348606
7,61,4-0-0-0-0-0-0-4-4-4-3-0-0-0-4-4,406.566,9.4998
7,62,0-0-0-0-0-0-0-4-4-0-3-0-4-3-4-4,403.3817,6.3212337
7,63,0-0-0-0-0-0-0-4-4-4-0-3-3-0-3-4,404.42474,7.3648286
7,64,0-0-0-0-0-0-0-4-0-4-4-3-0-4-4-4,404.07126,7.0334144
7,65,0-0-0-0-0-0-0-4-4-0-3-3-4-0-3-4,403.05493,6.071678
7,66,4-4-0-0-0-3-3-4-4-0-3-0-0-0-0-0,401.46298,4.5014973
7,67,4-0-0-0-0-0-0-4-4-0-0-4-0-4-4-4,406.9597,10.026467
7,68,0-0-0-0-0-0-0-4-4-0-3-2-3-0-4-4,403.37332,6.4554424
7,69,0-0-0-0-0-0-0-3-4-3-0-4-0-4-4-4,403.65863,6.8555517
7,70,0-0-0-0-0-0-0-0-0-2-4-4-4-3-4-4,408.5276,11.725234
7,71,0-0-0-0-0-0-0-2-4-0-0-2-4-3-4-4,405.63043,8.8441
7,72,4-0-0-0-0-0-0-4-4-0-4-0-0-4-4-4,404.90994,8.137771
7,73,4-0-4-0-0-0-0-4-4-0-4-0-0-0-4-4,404.833,8.11411
7,74,0-0-0-0-0-0-0-3-4-0-4-4-3-0-4-4,403.2783,6.5921984
7,75,0-0-0-0-0-4-0-4-3-0-0-4-4-0-4-4,403.96658,7.283665
7,76,4-0-0-0-0-0-0-4-4-3-4-0-0-0-3-4,404.13596,7.4602914
7,77,0-0-0-0-0-3-0-4-4-0-0-4-3-0-4-4,403.41272,6.7480564
7,78,0-0-0-0-0-3-0-4-4-2-4-0-0-0-4-4,401.40454,4.773668
7,79,4-0-0-0-0-4-4-4-4-0-0-0-0-0-4-4,406.4212,9.839707
7,80,0-0-0-0-0-2-0-4-4-3-3-0-0-0-4-4,401.34106,4.7828712
7,81,0-0-0-0-0-0-0-0-3-4-4-0-4-4-4-4,404.54376,8.121276
7,82,0-0-0-0-0-0-0-4-0-4-4-0-4-3-4-4,404.58417,8.177097
7,83,0-0-0-0-0-0-0-4-4-2-3-0-4-0-3-4,402.5681,6.173376
7,84,0-0-0-0-0-0-0-4-4-2-0-2-0-4-4-4,403.69403,7.326616
7,85,0-0-0-2-0-0-0-4-4-3-4-0-0-0-4-4,401.67755,5.314695
7,86,0-0-0-0-0-0-0-3-4-3-4-0-0-4-3-4,400.53738,4.199379
7,87,0-0-0-0-0-0-0-4-2-2-0-4-3-0-4-4,404.08386,7.777439
7,88,3-0-4-0-0-0-0-0-0-0-0-3-3-4-4-4,407.45355,11.16376
7,89,0-4-0-0-0-0-0-4-4-0-0-3-0-4-4-4,403.02255,6.767087
7,90,4-0-0-0-0-0-0-4-4-0-0-2-0-4-4-4,405.8898,9.637754
7,91,0-0-2-0-0-0-0-0-4-0-0-4-4-4-4-4,405.2974,9.053602
7,92,3-0-0-0-0-0-0-4-4-0-0-4-0-4-4-4,404.8732,8.630472
7,93,0-0-0-0-0-0-0-4-4-3-0-0-3-4-4-4,403.78476,7.5619526
7,94,0-0-0-0-0-0-0-3-4-4-3-0-4-0-3-4,402.8134,6.608278
7,95,4-0-0-0-0-0-0-4-4-0-0-2-4-0-4-4,406.9793,10.793267
7,96,0-0-3-0-0-0-0-4-4-3-3-0-0-0-4-4,401.6163,5.4305315
7,97,0-0-0-0-0-0-0-4-4-0-3-0-4-4-3-4,401.8932,5.7224903
7,98,0-0-0-0-0-0-0-4-4-4-3-4-3-0-0-4,404.1795,8.037771
7,99,0-0-0-0-0-0-0-4-4-4-4-3-0-4-0-4,402.7483,6.6289525
7,100,0-0-0-0-0-0-0-4-4-4-0-3-0-2-4-4,402.79065,6.7050524
8,1,4-4-0-4-3-4-4-4-4-0-0-0-0-0-0-0,415.8438,8.744536
8,2,4-4-0-4-4-4-3-4-4-0-0-0-0-0-0-0,415.35287,8.71953
8,3,4-4-4-4-4-0-3-4-4-0-0-0-0-0-0-0,416.21408,9.642662
8,4,4-4-0-4-3-3-3-4-4-0-0-0-0-0-0-0,413.79407,7.5148153
8,5,4-4-4-4-3-3-0-4-4-0-0-0-0-0-0-0,413.24078,7.3762846
8,6,4-4-4-4-4-4-0-4-4-0-0-0-0-0-0-0,414.4305,8.593668
8,7,4-4-4-4-4-0-2-4-4-0-0-0-0-0-0-0,415.67694,9.859776
8,8,4-4-0-3-3-4-3-4-4-0-0-0-0-0-0-0,412.28006,6.6223636
8,9,4-4-0-3-4-4-3-4-4-0-0-0-0-0-0-0,413.01257,7.6712914
8,10,4-4-4-4-2-0-3-4-4-0-0-0-0-0-0-0,414.50916,9.190939
