Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,target
0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,-0.6736273458216451
0,2,0,0,0,4,0,0,0,0,0,3,0,0,0,0,-0.4198297763371935
0,0,0,0,0,0,0,3,0,0,3,3,4,2,0,0,0.10617969732617613
0,4,0,4,0,0,0,0,0,0,0,2,0,0,3,3,0.8539618105705934
0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,-0.8921974924123601
4,2,0,2,0,0,0,0,4,0,0,0,3,0,4,0,1.2430647088969198
0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,3,0.437637721826378
0,0,0,2,0,0,4,0,0,0,0,0,4,0,0,2,0.1902451383226008
0,0,3,0,0,0,0,0,0,3,4,4,2,0,3,0,0.21586508224532125
0,3,3,0,1,0,0,0,0,0,0,1,0,3,3,0,-0.5255120450184171
4,0,0,4,3,0,3,0,0,0,4,0,0,0,3,0,2.640952899180383
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,-0.9242224223157596
0,1,0,0,4,0,0,0,0,4,0,3,0,0,0,0,0.010905530863553036
0,1,0,0,0,0,0,0,0,0,2,2,4,0,3,0,0.7859088345258639
0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,3,0.613774836295084
0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,-1.019496588778378
0,0,0,0,1,1,0,4,0,4,0,0,0,0,3,3,0.9420303678049486
0,0,1,0,1,0,0,0,0,0,0,0,4,2,1,0,-0.9338299012867803
0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.1564031641154213
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1.1596056571057587
0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,0.1358027574868181
0,1,0,0,0,0,0,0,4,0,0,4,0,0,0,0,-0.4934871151150131
0,0,1,4,0,0,0,0,0,0,1,0,0,0,1,0,-1.1083657692603177
0,1,0,0,4,0,2,0,3,0,0,0,0,3,3,0,0.30953800221277117
0,1,3,4,3,0,0,0,0,0,0,0,0,0,0,4,1.1878217048135526
0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.2124467914463726
1,3,0,4,2,0,0,0,0,0,0,4,0,0,0,0,1.360756326291917
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,-1.369368947973037
0,0,0,1,0,0,0,0,4,0,0,0,0,0,4,0,-0.3918079626717155
0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.036525474786278045
0,0,3,0,2,0,4,0,0,3,0,0,0,0,4,4,2.202211359503784
0,0,2,0,0,0,0,0,0,0,4,0,0,0,3,0,-0.6239887044713728
0,0,2,0,0,1,0,1,2,1,0,0,0,4,0,0,-0.19965838325130983
1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,-0.21967396444093562
4,2,4,2,0,0,0,0,0,0,0,2,0,0,0,0,1.8859651767076977
4,0,3,0,0,0,0,0,3,0,0,0,1,0,3,2,1.5296878315323597
0,0,4,3,0,4,0,2,0,0,0,0,0,0,0,0,-0.00270506434538922
2,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,-0.20526274598440453
0,4,0,0,0,0,0,0,0,4,0,3,0,0,2,0,0.12299278552546015
0,2,0,1,0,0,2,0,0,0,0,3,3,0,0,0,0.09096785562205617
0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,-0.704051029229876
0,0,0,0,0,0,0,2,0,4,0,0,3,3,0,0,-0.08917237508457589
1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,-0.5175058125425649
0,1,0,0,0,0,2,0,0,0,0,1,1,2,2,0,-0.3357643353407643
0,0,4,0,0,0,0,4,0,2,0,1,0,1,0,0,-0.3830011069482791
0,1,1,0,0,0,0,2,0,4,0,0,1,0,0,0,-0.5183064357901492
0,2,0,1,1,0,0,3,0,0,0,2,0,0,0,0,-0.3990135718999788
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1.3989920081336837
0,0,2,0,0,0,0,0,3,4,0,0,0,0,0,0,-0.5303157845039275
0,0,3,0,0,4,0,0,3,0,0,4,4,0,2,0,0.38239471774301104
0,4,0,1,0,0,0,0,1,0,0,0,0,3,0,0,-0.5199076822853224
0,0,0,0,2,4,0,0,0,0,0,1,4,0,1,0,0.8099275319534157
0,2,4,0,0,4,0,0,0,0,0,4,0,0,0,0,-0.19805713675613668
0,1,0,2,0,3,0,0,0,3,0,2,3,0,0,0,0.7002421470342661
0,3,0,3,0,2,0,0,2,0,0,2,0,0,3,0,0.6546066219219199
0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-1.274895404758003
2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,-0.6135806022527678
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2620854327966449
0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,-0.6119793557575992
0,0,4,0,0,0,0,0,0,4,1,0,0,0,0,0,-0.30213815894219165
0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,-1.084347071832766
4,0,0,0,3,1,0,0,0,4,1,0,1,0,0,0,1.0028777346214104
0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.3077209579089912
1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,-1.2716929117676656
0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,-0.937032394277122
0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,-0.8978018551454549
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.3613627154971897
0,0,0,0,0,0,0,2,2,0,0,4,0,1,0,3,1.0957500313412714
0,0,1,0,0,3,0,0,0,0,3,0,0,0,0,2,-0.247695778106409
0,0,3,0,0,0,3,0,0,0,4,4,0,3,0,3,0.855563057065762
0,0,0,0,0,0,0,0,0,0,4,0,2,3,3,0,0.10217658108825006
3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-0.6496086483940978
3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.38239471774301104
0,1,0,0,1,0,0,1,0,4,0,0,4,0,2,0,0.044531707262125624
0,0,0,0,0,0,0,0,3,4,0,4,0,2,1,1,0.7098496260052869
2,0,0,0,3,0,0,0,0,0,0,3,1,0,2,1,0.7242608444618179
0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,-1.0355090537300824
0,1,0,0,0,0,4,0,3,4,0,0,4,0,0,0,0.4944819724049136
0,0,1,3,0,0,2,2,0,0,3,0,0,0,2,0,-0.003505687592973523
0,0,0,0,0,1,0,2,3,0,0,0,0,1,0,0,-0.08116614260872375
0,2,0,0,0,0,0,0,4,0,1,4,1,0,0,0,0.10698032057376043
0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,-0.9834685426370526
0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,-0.6920416805161023
0,1,0,0,0,0,0,1,0,2,0,2,0,4,0,0,-0.14921911865345322
0,0,0,0,0,1,0,1,0,0,0,2,2,0,3,0,0.15261584568610667
0,0,0,0,3,2,0,4,0,0,2,2,0,0,2,0,0.3511704110871913
0,0,2,0,0,0,2,0,0,0,4,0,0,3,0,0,-0.5119014498094703
0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,-1.1011601600320544
0,0,0,0,0,0,0,0,2,0,0,4,1,0,4,0,0.20625760327430506
2,0,0,0,3,4,0,1,4,0,4,0,0,0,0,0,1.1029556405695393
4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9292203958435862
0,2,0,0,0,3,0,0,3,0,3,0,0,0,2,0,0.3407623088685863
0,1,0,0,0,4,2,4,0,0,0,2,0,0,0,0,0.5537280927262066
0,0,4,1,0,1,0,0,0,0,4,0,0,0,0,0,-0.6696242295837236
1,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,-0.4870821291343341
0,0,0,0,0,0,2,0,0,0,4,0,3,0,0,0,-0.34617243755936933
2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,-0.5054964638287912
0,3,0,0,3,3,0,4,0,3,0,0,0,2,0,0,0.26470310034800926
0,2,2,0,2,0,4,0,0,0,0,2,0,2,0,0,0.17743516636124282
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7745058750173583
2,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,-0.2060633692319888
0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,-1.0971570437941283
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,-0.7825121074932104
0,0,0,0,0,0,0,0,0,0,1,4,0,0,4,0,-0.5655432073976686
0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,-1.3133253206420858
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.4574375052073925
0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,-0.055546198686003294
1,0,0,0,0,4,0,0,0,0,1,3,2,0,1,0,0.00930428436838443
0,0,0,4,4,0,1,3,1,4,0,0,0,0,0,0,1.066126971180625
0,0,4,0,4,0,0,0,0,0,3,3,0,0,0,0,-0.030726878010867136
0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,-0.7913189632166469
0,2,1,2,2,0,0,0,0,0,0,0,4,0,0,4,0.9460334840428701
0,4,0,0,0,0,2,0,0,0,0,0,2,1,0,0,-0.44945283649783996
0,0,4,0,3,0,0,4,0,0,1,0,0,0,2,0,0.17823578960882713
0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,-1.0995589135368813
0,0,0,0,0,2,0,0,0,4,2,2,0,3,0,0,0.552126846231038
0,0,0,0,0,1,3,0,3,0,4,0,0,1,0,1,0.20705822652188935
0,0,1,0,0,3,1,0,0,3,2,0,0,1,0,0,-0.07796364961838198
2,4,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0.0973728416027397
1,0,0,2,1,0,0,4,0,0,3,0,2,0,0,0,0.17343205012331675
0,1,0,0,0,0,0,0,0,1,0,0,0,3,2,0,-1.1099670157554908
4,0,0,0,3,0,0,0,0,1,0,0,0,0,0,4,1.219846634716952
3,0,2,0,4,2,0,0,0,1,4,0,0,0,0,0,1.1365818169681072
2,0,0,0,1,3,1,0,0,0,0,0,1,0,3,0,0.163824571152296
3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.14220774346750165
0,3,0,0,0,1,0,2,0,0,4,0,0,2,0,0,-0.23728767588780394
0,0,4,1,0,4,0,0,2,0,2,0,0,0,0,3,0.5144975535945394
0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,-0.614381225500352
2,2,1,0,0,0,0,0,0,0,3,0,0,2,0,2,0.42642899636018866
4,2,0,0,3,4,0,0,4,0,3,0,0,0,0,0,1.8547408700518826
0,0,1,0,0,0,0,0,4,0,0,0,1,4,1,0,-0.773705251769774
1,0,0,0,0,2,0,0,0,0,4,2,3,0,3,0,0.2735099560714457
0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-0.7689015122842636
0,0,3,0,0,1,0,0,1,3,0,4,3,0,0,0,0.2967280302514132
0,3,0,3,0,0,0,0,1,0,0,0,0,4,0,0,-0.17323781608100053
0,0,1,0,0,4,0,0,0,1,0,0,3,0,0,0,-0.7793096145028687
0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,-0.773705251769774
0,2,0,0,0,0,0,4,0,4,0,0,0,0,0,0,-0.2268795736691989
0,3,0,0,1,0,4,0,0,2,0,0,0,3,0,2,0.4936813491573293
4,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0.37598973176232753
0,0,0,0,0,0,0,1,0,0,2,3,0,3,0,0,-0.27011322903879226
0,0,0,3,2,0,4,2,0,0,0,0,0,3,0,3,1.0525163759716827
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,-1.1988361962374259
0,3,1,0,0,4,0,0,0,2,3,0,0,0,1,0,0.13820462722957558
4,0,0,0,0,0,0,3,0,4,2,3,0,0,3,0,1.651382565165283
0,1,0,3,0,0,0,2,3,0,2,1,0,0,0,0,0.21426383575015262
0,0,2,0,0,1,0,0,0,2,0,3,0,0,0,0,-0.5367207704846064
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4878611886156232
0,0,4,0,2,0,0,1,0,0,4,0,2,0,4,0,0.8195350109244365
0,0,2,0,2,0,0,1,0,0,4,0,1,0,0,4,0.5937592551054582
0,0,0,0,1,2,0,0,0,4,0,3,0,0,1,4,1.0645257246854563
2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,-0.5263126682660013
0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,0.3695847457816485
0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,4,0.6746222031115456
0,2,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0.10938219031651335
0,0,0,0,3,0,0,0,0,0,0,2,0,3,0,0,-0.5615400911597426
0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.4950883616101862
4,0,0,0,1,0,0,3,4,2,0,0,0,0,0,2,2.074111639890182
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,-1.0243003282638885
0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,-0.712057261705728
3,1,0,0,3,0,3,0,0,0,0,1,1,0,0,0,0.8699742755222931
0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,-0.9658548311901842
0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.662612854397772
0,0,0,0,0,0,1,1,0,4,1,0,2,0,0,0,-0.1043842167886913
0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0.7122514957480444
0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,-0.6984466664967812
0,0,2,1,0,0,0,3,0,1,0,0,0,0,0,3,-0.06435305440943972
0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,-0.5903625280728048
0,0,0,2,0,2,0,0,3,2,0,0,0,0,3,2,0.8195350109244365
0,0,0,0,4,0,2,0,0,0,0,0,0,0,2,3,0.4072140384181472
1,0,0,1,0,0,0,0,3,4,0,0,3,0,0,2,0.6217810687709361
0,2,0,0,0,3,0,0,0,0,4,4,0,0,0,0,-0.290128810228418
1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,-0.7368765823808642
3,0,4,0,0,0,0,0,0,0,0,0,3,2,0,3,0.779503848545185
0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,-0.4014154416427363
0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,-1.053923388424535
1,0,0,0,0,3,3,4,3,0,4,0,0,0,0,0,1.0813388128847403
2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,4,0.8803823777408981
0,0,0,1,0,3,0,0,3,0,0,4,0,4,0,1,0.3159429881934502
0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,-0.34136869807385894
0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,-0.52791391476117
1,4,1,0,4,0,0,0,2,4,0,0,0,0,0,0,0.19825137079845292
0,3,4,0,0,0,0,0,0,0,0,0,0,0,3,2,-0.03232812450603574
