n_subs,rank,genotype,mu_real,sigma_real
7,1,0-3-4-0-0-1-0-0-0-0-3-0-1-4-3-0,1003.1122,48.22509
7,2,0-3-4-0-0-2-0-0-0-0-3-0-1-4-3-0,998.8357,48.450623
7,3,0-3-4-0-0-3-0-0-0-0-3-0-1-4-4-0,996.4851,46.809166
7,4,0-4-4-0-0-2-0-0-0-0-3-0-1-4-3-0,999.1636,50.273495
7,5,0-4-4-1-0-3-0-0-0-0-3-0-0-4-4-0,996.7957,48.69804
7,6,0-3-4-0-0-1-0-0-0-0-2-0-1-4-4-0,1001.09534,53.399788
7,7,0-4-4-1-0-2-0-0-0-0-1-0-0-4-4-0,1001.44214,55.168697
7,8,0-3-4-0-0-1-0-0-0-0-1-0-1-4-3-0,991.256,51.376556
7,9,0-4-4-0-0-1-0-0-0-0-1-0-1-4-3-0,991.6028,53.136963
7,10,0-3-4-0-0-1-0-0-0-0-1-1-0-4-4-0,1000.97144,64.58812
7,11,0-3-4-1-0-1-0-0-0-0-3-0-0-4-4-0,982.9946,49.828224
7,12,0-3-4-0-0-2-0-0-0-0-1-1-0-4-3-0,994.58044,62.849266
7,13,0-4-4-0-0-1-0-0-0-0-2-1-0-4-3-0,995.49316,64.80682
7,14,0-3-4-0-0-3-0-0-0-0-1-1-0-4-3-0,985.80774,59.09452
7,15,0-3-4-0-1-2-0-0-0-0-0-0-1-3-3-0,976.40295,51.53189
7,16,0-4-3-1-0-1-0-0-0-0-1-0-0-4-4-0,962.30273,37.5791
7,17,0-3-3-0-1-0-0-1-0-0-3-0-0-4-3-0,960.2444,39.061317
7,18,0-3-4-0-0-2-0-0-0-0-3-1-0-4-3-0,979.8181,60.00483
7,19,0-4-4-0-0-2-0-0-0-0-3-1-0-4-4-0,980.43774,63.913647
7,20,0-3-3-0-1-2-0-0-0-0-0-1-0-4-3-0,972.92847,60.449203
7,21,0-3-4-1-0-3-0-0-0-0-1-0-0-3-3-0,942.90576,30.479002
7,22,0-4-4-0-0-3-0-0-0-0-3-1-0-4-3-0,970.0845,58.1444
7,23,0-4-3-0-0-0-0-1-0-0-1-1-0-4-3-0,958.6633,48.173286
7,24,0-3-4-0-0-0-0-0-1-0-3-0-1-4-3-0,955.754,46.55798
7,25,0-4-3-0-0-1-0-0-0-0-1-1-0-4-3-0,956.9907,48.18122
7,26,0-3-2-0-1-0-0-0-0-0-3-1-0-4-3-0,985.9843,77.770386
7,27,0-4-3-2-0-1-0-0-0-0-3-0-0-4-4-0,944.9835,37.36965
7,28,0-3-4-1-0-1-0-0-0-0-1-0-0-3-4-0,943.1465,35.72684
7,29,0-4-4-0-1-3-0-0-0-1-0-0-0-4-3-0,979.25183,72.06201
7,30,0-4-4-2-0-2-0-0-0-0-1-0-0-4-3-0,964.57275,57.9345
7,31,0-3-4-0-0-3-1-0-0-0-0-1-0-3-3-0,957.90686,52.601078
7,32,0-3-3-0-1-0-0-0-0-1-3-0-0-4-3-0,957.90686,52.601078
7,33,0-4-4-0-0-3-0-0-0-0-0-1-1-3-3-0,951.8334,46.70148
7,34,0-3-4-0-0-3-1-0-0-0-1-0-0-4-3-0,963.2692,58.192974
7,35,0-3-4-0-0-3-0-0-0-0-0-1-1-3-4-0,951.73267,46.90478
7,36,0-3-4-1-0-1-0-0-0-0-2-0-0-3-4-0,939.55695,35.73489
7,37,0-4-4-3-0-3-0-0-0-0-3-0-0-4-4-0,966.9254,63.706806
7,38,0-4-4-0-0-2-1-0-0-0-0-1-0-3-3-0,960.599,58.455894
7,39,0-4-4-0-0-3-1-0-0-0-1-0-0-4-4-0,963.73486,61.970905
7,40,0-4-4-0-0-1-0-0-0-1-1-0-0-4-3-0,963.7674,63.334236
7,41,0-3-4-2-0-1-0-0-0-0-1-0-0-4-3-0,956.2292,55.83732
7,42,0-3-4-0-0-1-0-0-1-0-3-0-0-4-4-0,944.3863,45.114468
7,43,0-3-3-0-1-1-0-0-0-0-1-0-0-4-3-0,944.396,45.526794
7,44,0-3-3-2-0-3-0-0-0-0-1-0-0-4-3-0,932.6462,34.027527
7,45,0-4-4-0-0-1-0-1-0-0-3-0-0-4-3-0,943.8838,45.51841
7,46,0-3-3-0-1-0-0-0-0-1-1-0-0-4-3-0,954.7324,56.706463
7,47,0-4-4-0-0-1-0-0-1-0-3-0-0-4-4-0,944.68555,47.015293
7,48,0-3-3-0-1-2-0-0-0-0-0-1-0-3-3-0,946.7053,49.058342
7,49,0-3-4-0-0-3-0-0-1-0-1-0-0-3-3-0,923.6784,26.108528
7,50,0-4-4-0-1-4-0-0-1-0-0-0-0-3-3-0,980.23517,83.07761
7,51,0-3-4-1-1-2-0-0-0-0-0-0-0-3-4-0,950.9515,54.06063
7,52,0-4-4-0-0-3-0-0-1-0-1-0-0-4-4-0,944.0968,47.434406
7,53,0-3-4-1-0-0-0-0-0-0-3-1-0-4-4-0,963.70013,67.27772
7,54,0-4-4-0-0-2-0-0-1-0-2-0-0-4-3-0,945.50653,49.12248
7,55,0-3-4-0-1-1-0-0-0-0-0-2-0-4-3-0,979.621,83.39599
7,56,0-4-4-0-2-0-0-0-0-0-3-1-0-4-4-0,981.0415,84.87779
7,57,0-3-4-0-1-0-0-0-0-0-2-0-1-4-4-0,963.6355,67.74875
7,58,0-3-4-1-0-2-0-0-0-0-0-1-0-4-4-0,963.4077,67.880745
7,59,0-4-3-0-1-1-0-0-0-0-2-0-0-4-3-0,942.7069,47.30644
7,60,0-3-4-0-0-1-0-0-1-0-1-0-0-4-3-0,941.98157,46.86862
7,61,0-3-4-0-0-1-0-1-0-0-1-0-0-4-3-0,941.98157,46.86862
7,62,0-3-4-1-0-4-0-0-0-0-1-0-0-4-3-0,978.74615,84.05437
7,63,0-4-3-0-1-3-0-0-1-0-0-0-0-3-4-0,926.9946,33.439503
7,64,0-3-3-0-0-1-0-1-0-0-2-0-0-4-4-0,924.64526,31.633047
7,65,0-3-4-0-0-0-0-1-0-0-3-1-0-4-3-0,952.42993,59.78386
7,66,0-4-4-0-0-1-0-1-0-0-1-0-0-4-4-0,942.4636,50.54646
7,67,0-3-4-0-0-2-0-0-1-0-1-0-0-4-3-0,938.8407,47.100143
7,68,0-3-4-0-1-0-0-0-0-1-3-0-0-4-4-0,962.2472,71.21155
7,69,0-4-4-0-1-0-0-0-1-0-2-0-0-4-4-0,954.58264,63.661217
7,70,0-4-4-0-1-3-0-0-1-0-0-0-0-4-3-0,952.6194,61.770893
7,71,0-3-4-0-0-1-0-0-0-0-2-1-0-3-3-0,935.835,45.653973
7,72,0-4-4-0-0-1-0-0-1-0-1-0-0-3-4-0,923.412,33.37122
7,73,0-4-4-0-0-1-0-1-0-0-2-0-0-4-3-0,938.91785,48.932667
7,74,0-3-4-0-1-0-0-0-1-0-1-0-0-4-4-0,951.35754,61.46984
7,75,0-3-4-0-0-0-0-0-1-0-4-0-2-4-3-0,977.8147,88.18239
7,76,0-4-4-1-0-1-0-0-0-0-0-1-0-3-3-0,939.00073,49.51906
7,77,0-3-3-0-0-1-0-3-0-0-3-0-0-4-3-0,917.99585,28.964783
7,78,0-3-4-0-0-3-0-0-1-0-0-1-0-4-4-0,947.6148,58.737137
7,79,0-3-4-0-0-0-1-0-0-0-4-1-0-4-4-0,999.2816,111.11531
7,80,0-4-4-0-0-3-0-0-3-0-1-0-0-3-3-0,918.15063,30.71631
7,81,0-3-4-0-0-3-0-0-3-0-0-0-1-3-4-0,921.2992,34.005604
7,82,0-3-4-0-1-1-0-0-0-0-3-0-0-3-3-0,929.3458,42.145645
7,83,0-3-4-0-0-3-0-0-0-0-3-0-3-3-4-0,927.91315,41.458996
7,84,0-4-4-0-0-1-1-0-0-0-2-0-0-4-4-0,951.49506,65.32978
7,85,0-4-4-0-0-3-0-0-3-0-0-0-1-3-4-0,921.49194,35.693974
7,86,0-3-3-0-0-3-0-0-0-0-1-1-0-4-4-0,929.6518,43.93045
7,87,0-4-4-0-1-1-0-0-0-0-3-0-0-3-3-0,929.6518,43.93045
7,88,0-3-4-0-1-1-0-0-0-0-3-0-0-3-4-0,929.6424,44.09312
7,89,0-3-4-0-1-0-1-0-0-0-4-0-0-4-3-0,985.23206,99.75331
7,90,0-3-4-0-0-3-0-0-1-0-3-0-0-4-3-0,924.4261,39.83632
7,91,0-3-3-0-1-2-0-0-0-0-2-0-0-4-4-0,931.23865,47.219414
7,92,0-4-4-0-0-3-0-0-0-1-0-1-0-3-4-0,936.803,53.922348
7,93,0-4-4-0-0-1-0-0-0-0-0-1-1-3-4-0,935.0204,52.740353
7,94,0-4-4-0-0-2-0-0-1-0-0-1-0-2-4-0,952.2584,70.358406
