Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,target
0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,-0.18451195652649766
0,2,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0.43452161057563055
0,0,0,0,0,0,0,3,0,0,3,3,4,2,0,0,-2.9737082565203194
0,4,0,4,0,0,0,0,0,0,0,2,0,0,3,3,0.09236662353316874
0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2.0092293215004227
4,2,0,2,0,0,0,0,4,0,0,0,3,0,4,0,0.6947843916927011
0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,3,1.0259506216618501
0,0,0,2,0,0,4,0,0,0,0,0,4,0,0,2,-1.4886439185450453
0,0,3,0,0,0,0,0,0,3,4,4,2,0,3,0,-0.5489498479513718
0,3,3,0,1,0,0,0,0,0,0,1,0,3,3,0,3.2041555494013787
4,0,0,4,3,0,3,0,0,0,4,0,0,0,3,0,-1.499120164282065
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.9180238981357176
0,1,0,0,4,0,0,0,0,4,0,3,0,0,0,0,-0.8771090423810252
0,1,0,0,0,0,0,0,0,0,2,2,4,0,3,0,-1.7853554778530105
0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,3,-0.7912036761541817
0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,1.2934444993025038
0,0,0,0,1,1,0,4,0,4,0,0,0,0,3,3,0.138776868375512
0,0,1,0,1,0,0,0,0,0,0,0,4,2,1,0,0.4378022878610523
0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.436084416907242
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1.2073917293727436
0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,0.8440710824243328
0,1,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0.08301669326971603
0,0,1,4,0,0,0,0,0,0,1,0,0,0,1,0,-0.1338617764551373
0,1,0,0,4,0,2,0,3,0,0,0,0,3,3,0,0.28586988964117693
0,1,3,4,3,0,0,0,0,0,0,0,0,0,0,4,-2.8747474577136316
0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1.6117011885618737
1,3,0,4,2,0,0,0,0,0,0,4,0,0,0,0,-2.679504827911209
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.913020487317236
0,0,0,1,0,0,0,0,4,0,0,0,0,0,4,0,1.2637793151114658
0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,-0.03613085367227053
0,0,3,0,2,0,4,0,0,3,0,0,0,0,4,4,-0.9661703596831307
0,0,2,0,0,0,0,0,0,0,4,0,0,0,3,0,1.6127912200470298
0,0,2,0,0,1,0,1,2,1,0,0,0,4,0,0,1.4731855509730942
1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,-0.40701293262208094
4,2,4,2,0,0,0,0,0,0,0,2,0,0,0,0,-1.3063690350171426
4,0,3,0,0,0,0,0,3,0,0,0,1,0,3,2,0.34825567221396064
0,0,4,3,0,4,0,2,0,0,0,0,0,0,0,0,0.6135422738929937
2,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,-0.5793240817492586
0,4,0,0,0,0,0,0,0,4,0,3,0,0,2,0,0.8624496784705237
0,2,0,1,0,0,2,0,0,0,0,3,3,0,0,0,-1.1485389768477599
0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0.044488388993062705
0,0,0,0,0,0,0,2,0,4,0,0,3,3,0,0,0.016029647416664173
