n_subs,rank,genotype,mu_real,sigma_real
7,1,0-0-4-0-3-0-1-1-0-0-1-2-0-4-0-0,-682.8898,176.73225
7,2,0-0-4-0-3-0-1-2-0-0-1-2-0-4-0-0,-680.26636,177.24117
7,3,0-0-4-0-2-0-1-1-1-0-0-2-0-4-0-0,-677.9553,179.58769
7,4,0-0-4-0-2-0-0-2-1-1-0-1-0-4-0-0,-672.4047,174.36038
7,5,0-2-4-0-2-0-0-0-1-0-0-1-0-4-1-0,-670.59937,185.22795
7,6,0-0-4-0-2-0-1-0-1-1-0-2-0-4-0-0,-668.1498,167.99368
7,7,0-0-4-0-1-0-0-1-2-1-0-1-0-4-0-0,-667.90094,169.08344
7,8,0-0-4-2-1-0-0-2-1-0-0-1-0-4-0-0,-666.2925,190.3182
7,9,0-0-4-0-1-0-1-1-0-1-0-1-0-4-0-0,-666.01013,157.46698
7,10,0-0-4-0-1-0-1-0-1-1-0-1-0-4-0-0,-666.01013,157.46698
7,11,0-0-4-0-1-0-0-1-3-1-0-1-0-4-0-0,-665.2085,171.84361
7,12,0-0-4-0-3-0-0-1-1-1-0-2-0-4-0-0,-665.1071,179.44211
7,13,0-0-4-0-2-1-0-1-0-0-1-1-0-4-0-0,-664.74304,181.5918
7,14,0-0-4-0-1-0-1-1-0-0-1-2-0-4-0-0,-664.20154,171.92369
7,15,0-0-4-0-3-0-1-0-1-1-0-2-0-4-0-0,-662.1461,167.80315
7,16,0-0-4-0-2-0-0-1-2-1-0-2-0-4-0-0,-661.83057,180.11316
7,17,0-0-4-0-2-1-0-1-2-0-0-2-0-4-0-0,-661.1459,187.813
7,18,0-0-4-0-1-0-0-1-1-0-1-1-0-4-0-0,-661.13715,177.05473
7,19,0-0-4-2-1-0-1-0-1-0-0-2-0-4-0-0,-661.1034,181.52367
7,20,0-0-4-0-3-0-0-1-1-0-1-1-0-4-0-0,-660.7615,181.71054
7,21,0-0-4-2-2-0-0-3-1-0-0-1-0-4-0-0,-660.42645,197.33736
7,22,0-0-4-2-1-0-1-0-1-0-0-1-0-4-0-0,-660.1555,176.78189
7,23,0-0-4-2-2-0-0-2-1-0-0-1-0-4-0-0,-659.5134,196.1749
7,24,0-2-4-0-3-0-0-0-1-0-0-1-0-4-2-0,-658.5502,192.33272
7,25,0-0-4-2-1-0-1-0-1-0-0-3-0-4-0-0,-657.7612,181.45981
7,26,0-0-4-0-1-0-1-2-3-0-0-2-0-4-0-0,-657.17334,176.64854
7,27,0-0-4-0-2-0-1-2-0-0-2-1-0-4-0-0,-657.09985,169.59343
7,28,0-0-4-2-2-0-0-1-1-0-0-1-0-4-0-0,-656.7334,195.49571
7,29,0-0-4-2-1-0-0-3-1-0-0-0-2-4-0-0,-655.8048,190.86766
7,30,0-0-4-0-2-0-1-2-0-1-0-2-0-4-0-0,-655.1839,168.54123
7,31,0-0-4-0-1-1-0-2-1-0-0-1-0-4-0-0,-654.1362,177.594
7,32,0-2-4-0-1-0-0-2-0-1-0-0-0-4-1-0,-654.0808,162.19151
7,33,0-0-4-2-2-0-0-2-0-0-1-1-0-4-0-0,-653.0657,191.7595
7,34,0-0-4-2-3-0-0-1-0-0-1-2-0-4-0-0,-652.8169,196.55219
7,35,0-1-4-0-2-0-0-2-0-0-0-2-0-4-1-0,-651.8734,187.62909
7,36,0-0-4-0-1-0-0-3-1-0-1-1-0-4-0-0,-650.98157,179.7863
7,37,0-0-4-0-3-0-0-1-0-0-1-2-0-4-1-0,-650.71735,181.23393
7,38,0-0-4-0-1-0-1-3-2-0-0-2-0-4-0-0,-650.261,177.36967
7,39,0-0-4-2-1-0-1-0-2-0-0-2-0-4-0-0,-650.1587,182.12279
7,40,0-0-4-0-2-0-0-2-2-1-0-2-0-4-0-0,-649.8884,180.71582
7,41,0-1-4-0-1-0-1-0-1-0-0-0-0-3-1-0,-647.6304,158.63678
7,42,0-1-4-0-2-0-0-3-0-0-0-1-0-4-1-0,-647.54236,184.69046
7,43,0-0-4-2-1-0-1-0-2-0-0-1-0-4-0-0,-647.33655,177.36223
7,44,0-0-4-0-1-0-0-2-1-0-0-2-2-4-0-0,-647.19006,196.04007
7,45,0-1-4-0-1-1-0-0-1-0-0-3-0-4-0-0,-647.1382,175.68922
7,46,0-0-4-2-1-0-0-2-1-0-0-0-2-4-0-0,-645.7555,189.05196
7,47,0-0-4-0-2-0-1-0-2-0-0-2-2-4-0-0,-645.694,188.52496
7,48,0-0-4-2-2-0-0-2-0-1-0-2-0-4-0-0,-645.694,188.52496
7,49,0-0-4-0-1-1-0-2-0-0-0-1-2-4-0-0,-645.4031,186.38884
7,50,0-1-4-0-1-0-0-0-0-0-1-0-2-4-1-0,-644.8673,175.63632
7,51,0-0-4-2-1-0-0-3-1-0-1-0-0-4-0-0,-644.7251,178.7324
7,52,0-0-4-0-2-1-0-3-2-0-0-2-0-4-0-0,-644.01154,190.00671
7,53,0-0-4-0-1-0-1-3-0-0-1-2-0-4-0-0,-643.8419,174.84984
7,54,0-0-4-2-1-0-0-1-0-0-1-2-0-4-0-0,-643.7185,191.6641
7,55,0-0-4-2-1-0-1-0-0-0-3-1-0-4-0-0,-643.6047,169.45055
7,56,0-0-4-0-1-0-2-0-1-0-1-1-0-4-0-0,-643.53394,185.53276
7,57,0-0-4-0-1-1-1-0-0-0-1-2-0-4-0-0,-643.33545,170.01166
7,58,0-0-4-0-1-0-0-1-1-1-0-2-0-3-0-0,-642.9691,175.87978
7,59,0-0-4-2-0-0-1-3-1-0-0-1-0-4-0-0,-642.72424,171.04059
7,60,0-0-4-0-1-0-0-1-2-1-0-0-2-4-0-0,-642.51807,169.35925
7,61,0-0-4-0-1-0-1-3-3-0-0-2-0-4-0-0,-642.3068,179.17276
7,62,0-0-4-0-2-0-1-1-0-0-0-1-2-4-0-0,-642.2559,182.69289
7,63,0-0-3-0-1-0-1-0-1-1-0-2-0-4-0-0,-642.04584,164.39742
7,64,0-0-4-2-2-0-1-0-1-0-0-2-0-4-0-0,-639.1704,187.79808
7,65,0-0-4-2-1-0-1-0-1-1-0-0-0-4-0-0,-638.81177,155.93846
7,66,0-0-4-0-2-0-1-0-3-0-1-2-0-4-0-0,-638.6249,178.20914
7,67,0-2-4-2-1-0-1-0-0-0-0-0-0-4-1-0,-638.28674,169.27956
7,68,0-0-4-0-2-0-1-1-1-0-0-1-0-3-0-0,-638.15375,176.30353
7,69,0-1-4-0-2-0-0-2-0-0-0-3-0-4-2-0,-637.90393,190.82124
7,70,0-2-4-2-2-0-0-0-1-0-0-2-0-4-0-0,-637.8303,202.0217
7,71,0-0-4-0-2-0-1-0-3-1-0-2-0-4-0-0,-636.82715,170.70795
7,72,0-0-4-1-1-0-0-1-0-1-0-1-0-4-0-0,-636.8168,169.97006
7,73,0-0-4-2-2-0-1-0-0-1-0-2-0-4-0-0,-636.7252,177.26166
7,74,0-2-4-0-3-0-0-0-2-0-0-1-0-4-2-0,-636.6997,192.83096
7,75,0-0-4-2-1-0-1-0-3-0-0-2-0-4-0-0,-636.223,183.75795
7,76,0-0-4-0-2-0-0-3-0-1-0-1-2-4-0-0,-636.223,183.75795
7,77,0-0-4-0-1-0-0-1-0-1-0-1-0-4-2-0,-636.0156,169.67586
7,78,0-0-4-2-1-0-0-1-0-0-0-2-0-4-1-0,-635.8907,186.15056
7,79,0-0-4-2-1-1-0-1-0-0-0-1-0-4-0-0,-635.8166,185.19235
7,80,0-0-4-1-0-0-0-1-3-0-0-1-1-4-0-0,-635.38025,177.24258
7,81,0-0-4-0-1-0-1-2-2-0-0-0-2-4-0-0,-634.9525,168.76532
7,82,0-0-4-2-0-0-0-2-2-1-0-1-0-4-0-0,-634.9525,168.76532
7,83,0-0-4-2-1-0-0-0-1-0-0-2-0-4-1-0,-634.43115,185.16864
7,84,0-0-4-0-1-0-1-2-3-0-0-0-1-4-0-0,-634.3037,163.48317
7,85,0-0-4-2-3-0-0-1-1-0-0-1-0-4-0-0,-634.25256,195.29301
7,86,0-0-4-0-3-1-1-2-0-0-0-2-0-4-0-0,-634.1014,174.42567
7,87,0-0-4-2-1-0-1-3-1-0-0-0-0-4-0-0,-633.2566,169.48862
7,88,0-0-4-0-1-0-1-3-1-1-0-0-0-4-0-0,-633.2372,151.21408
7,89,0-0-4-1-1-0-1-0-1-0-0-1-0-4-0-0,-633.11316,169.82504
7,90,0-0-4-2-2-0-0-1-3-0-0-2-0-4-0-0,-633.03436,202.77075
7,91,0-0-4-2-0-0-1-1-1-0-1-0-0-4-0-0,-632.8155,155.0494
7,92,0-0-4-0-1-0-1-2-0-0-2-2-0-4-0-0,-632.38684,170.07332
7,93,0-3-4-2-1-0-0-2-0-0-0-0-0-4-1-0,-632.02747,171.65399
7,94,0-0-4-2-3-1-0-0-0-1-0-1-0-4-0-0,-631.7993,180.50964
7,95,0-0-4-2-2-1-0-0-0-1-0-2-0-4-0-0,-631.6074,185.58777
7,96,0-2-4-1-1-0-0-0-1-0-0-1-0-4-0-0,-631.19464,183.85818
7,97,0-2-4-0-1-1-0-0-3-0-0-2-0-4-0-0,-630.6121,187.16542
7,98,0-0-4-0-2-0-0-3-0-0-1-1-0-4-2-0,-630.6121,187.16542
7,99,0-0-4-2-1-0-1-2-2-0-0-0-0-4-0-0,-630.06665,167.79428
7,100,0-0-4-0-1-0-1-0-0-1-0-3-2-4-0-0,-629.768,171.73663
8,1,0-1-4-0-1-0-0-1-1-0-0-1-0-4-2-0,-684.88226,171.89644
8,2,0-2-4-0-1-0-0-1-1-0-0-1-0-4-2-0,-682.5546,178.96605
8,3,0-2-4-0-1-0-0-1-0-0-1-1-0-4-1-0,-657.7268,170.45624
8,4,0-1-4-2-1-0-0-1-0-0-0-1-0-4-1-0,-656.9684,177.01447
8,5,0-1-4-0-1-0-0-2-2-0-0-1-0-4-1-0,-656.55396,168.87738
8,6,0-2-4-0-1-0-0-0-1-0-0-1-2-4-2-0,-656.31226,187.76202
8,7,0-2-4-2-1-0-0-1-0-0-0-1-0-4-2-0,-656.31226,187.76202
8,8,0-2-4-0-1-0-0-2-0-1-0-1-0-4-1-0,-651.6205,162.09395
8,9,0-1-4-0-2-0-0-2-1-0-0-1-0-4-2-0,-648.81885,177.67458
8,10,0-1-4-0-1-0-0-1-0-1-0-2-0-4-2-0,-647.77124,166.40489
8,11,0-0-4-0-1-0-1-1-1-0-1-1-0-4-0-0,-641.71606,157.20473
8,12,0-1-4-0-2-0-0-1-0-1-0-1-0-4-1-0,-641.22266,162.43257
8,13,0-0-4-2-2-0-0-1-3-0-0-1-2-4-0-0,-637.38617,197.07285
8,14,0-2-4-0-1-0-0-0-0-0-1-1-2-4-2-0,-637.3634,185.35336
8,15,0-1-4-0-1-0-0-0-0-1-0-1-2-4-1-0,-636.77185,166.281
8,16,0-2-3-0-1-0-0-0-1-0-0-1-2-4-1-0,-636.33905,182.29605
8,17,0-0-4-2-1-0-0-3-2-1-0-1-0-4-0-0,-636.33057,171.30312
8,18,0-0-4-0-1-0-1-2-3-0-0-1-2-4-0-0,-636.33057,171.30312
8,19,0-0-4-2-2-0-0-2-1-0-0-1-2-4-0-0,-635.3827,195.41913
8,20,0-0-4-0-1-0-1-1-3-0-0-1-2-4-0-0,-635.15137,170.8397
8,21,0-1-4-2-1-0-0-1-0-0-0-2-0-4-1-0,-633.4155,182.38628
8,22,0-1-4-2-1-0-1-0-1-0-0-0-0-4-1-0,-632.7427,156.68083
8,23,0-0-4-0-1-0-1-2-2-0-1-1-0-4-0-0,-632.2385,158.31557
8,24,0-0-4-2-1-0-1-1-2-0-0-2-0-4-0-0,-631.23645,173.85324
8,25,0-1-4-2-1-0-0-1-1-0-0-0-0-4-1-0,-631.0266,168.09932
8,26,0-0-4-0-1-0-0-1-0-1-0-1-2-4-1-0,-629.59314,162.56987
8,27,0-2-4-0-1-0-1-1-0-0-0-2-0-4-1-0,-629.0477,167.1872
8,28,0-0-4-0-1-1-0-0-2-1-0-2-2-4-0-0,-628.38916,172.59225
8,29,0-1-4-0-2-0-0-1-0-0-1-3-0-4-1-0,-627.0046,176.88133
8,30,0-1-4-0-0-0-0-1-1-0-0-1-2-4-2-0,-626.6597,171.84282
8,31,0-2-4-0-3-0-0-1-0-0-1-2-0-4-1-0,-626.65704,181.03928
8,32,0-0-4-0-1-0-0-3-2-1-0-1-2-4-0-0,-626.0842,171.42874
8,33,0-0-4-0-1-0-0-3-3-0-1-1-1-4-0-0,-624.6677,174.98712
8,34,0-1-4-1-1-0-0-1-0-1-0-0-0-4-1-0,-624.66364,151.348
8,35,0-3-4-0-1-0-0-0-1-0-0-2-2-4-1-0,-624.6139,177.50543
8,36,0-2-4-0-2-0-0-0-1-0-0-2-2-4-2-0,-624.5671,199.16191
8,37,0-0-4-0-1-0-1-3-1-1-0-1-0-4-0-0,-624.4371,151.89795
8,38,0-0-4-0-2-0-1-1-1-0-0-1-2-4-0-0,-624.11334,173.93953
8,39,0-0-4-0-3-0-1-1-0-0-1-1-2-4-0-0,-623.43823,171.08974
8,40,0-1-4-1-1-0-0-1-0-1-0-0-0-4-2-0,-623.40826,154.8457
8,41,0-0-4-2-1-0-1-1-3-0-0-1-0-4-0-0,-623.08545,170.91534
8,42,0-1-4-2-1-0-0-0-1-1-0-0-0-4-1-0,-622.64703,157.93237
8,43,0-2-4-2-0-0-0-1-1-0-0-0-1-4-1-0,-622.4419,165.70139
8,44,0-1-4-0-1-0-0-3-0-1-0-1-0-4-1-0,-622.40295,160.53177
8,45,0-0-4-0-3-0-0-1-0-1-1-1-2-4-0-0,-621.5836,167.74318
8,46,0-0-4-0-3-1-0-3-1-1-0-1-0-4-0-0,-621.4501,164.67854
8,47,0-1-4-2-1-0-0-1-3-0-0-1-0-4-0-0,-620.42126,176.32678
8,48,0-1-4-2-1-0-0-0-0-1-0-2-0-4-2-0,-620.3342,176.2645
8,49,0-1-4-0-1-0-0-2-0-0-1-1-0-4-3-0,-620.251,161.53754
8,50,0-0-4-1-1-0-0-1-2-0-0-2-2-4-0-0,-618.8734,188.44754
8,51,0-1-4-0-1-0-1-1-2-0-0-1-0-4-0-0,-618.6953,152.98741
8,52,0-1-4-0-1-0-1-1-1-0-0-1-0-4-0-0,-618.1109,152.5781
8,53,0-0-4-2-1-0-1-0-0-0-1-1-2-4-0-0,-617.9697,175.48843
8,54,0-1-4-2-1-0-0-1-1-0-0-1-0-4-0-0,-617.7337,173.04558
8,55,0-0-4-1-1-0-0-1-3-0-0-1-1-4-0-0,-617.13293,177.79904
8,56,0-2-3-0-1-0-0-2-0-1-0-1-0-4-1-0,-616.18787,163.80328
8,57,0-0-4-2-2-0-1-1-1-0-0-1-0-4-0-0,-616.0248,174.43683
8,58,0-2-4-0-1-0-1-1-0-1-0-0-0-4-1-0,-615.881,143.04106
8,59,0-1-4-2-1-0-0-1-0-3-0-0-0-4-2-0,-615.6888,179.9038
8,60,0-2-4-0-1-0-0-2-2-0-0-0-2-4-1-0,-615.41125,173.7112
8,61,0-2-4-2-0-0-1-0-2-0-0-1-0-4-1-0,-614.978,162.01112
8,62,0-0-4-2-1-0-1-0-0-1-1-2-0-4-0-0,-614.3417,159.63066
8,63,0-1-4-2-1-0-0-1-0-0-0-3-0-4-2-0,-613.37354,186.34361
8,64,0-1-4-2-1-1-0-0-0-1-0-0-0-4-2-0,-613.2086,160.28671
8,65,0-0-4-0-1-0-0-3-1-0-0-1-1-4-1-0,-612.5495,169.66225
8,66,0-0-4-0-3-0-0-1-1-1-0-2-2-4-0-0,-612.17664,179.11925
