n_subs,rank,genotype,mu_real,sigma_real
7,1,0-0-4-2-1-0-0-3-3-0-0-1-0-4-0-0,-674.87146,194.33717
7,2,0-0-4-0-1-0-0-3-3-0-0-1-2-4-0-0,-674.87146,194.33717
7,3,0-2-4-0-2-0-0-0-1-0-0-1-0-4-2-0,-667.5596,192.57118
7,4,0-0-4-2-1-0-0-2-2-0-0-1-0-4-0-0,-669.2304,190.84671
7,5,0-0-4-2-2-0-0-3-1-0-0-1-0-4-0-0,-660.42645,197.33736
7,6,0-0-4-0-1-0-0-2-1-0-0-1-2-4-0-0,-666.48944,190.27081
7,7,0-0-4-2-1-0-0-3-2-0-0-0-2-4-0-0,-665.1843,191.4813
7,8,0-0-4-2-1-0-0-1-1-0-0-1-0-4-0-0,-666.26184,189.74962
7,9,0-0-4-0-2-0-1-1-0-0-1-2-0-4-0-0,-678.2814,176.82805
7,10,0-0-4-2-0-0-0-3-2-0-0-1-2-4-0-0,-664.0536,190.98517
7,11,0-0-4-0-2-0-0-2-2-0-0-1-2-4-0-0,-657.4871,196.22034
7,12,0-2-4-0-2-0-0-2-0-0-0-1-0-4-1-0,-666.59064,186.26068
7,13,0-0-4-0-2-0-0-2-1-0-0-1-2-4-0-0,-656.72455,195.61423
7,14,0-0-4-2-2-0-0-2-1-0-0-2-0-4-0-0,-649.29694,201.48827
7,15,0-0-4-0-2-1-0-1-2-0-0-2-0-4-0-0,-661.1459,187.813
7,16,0-0-4-0-2-0-0-3-2-0-0-1-2-4-0-0,-650.6536,197.72119
7,17,0-0-4-0-1-1-0-0-1-0-0-2-2-4-0-0,-657.11053,191.13965
7,18,0-0-4-2-2-0-0-1-0-0-1-1-0-4-0-0,-657.11053,191.13965
7,19,0-0-4-0-2-0-0-1-0-0-1-2-2-4-0-0,-652.1398,196.06819
7,20,0-1-3-0-1-0-0-0-0-0-0-1-2-4-2-0,-654.5918,190.05992
7,21,0-0-4-0-3-0-0-1-1-1-0-2-0-4-0-0,-665.1071,179.44211
7,22,0-0-4-2-3-0-0-3-0-0-1-1-0-4-0-0,-650.8843,193.3342
7,23,0-0-4-0-2-0-0-1-0-1-0-1-2-4-0-0,-661.1034,181.52367
7,24,0-0-4-2-2-1-0-0-3-0-0-2-0-4-0-0,-643.61926,198.50473
7,25,0-0-4-0-2-1-0-0-0-1-0-2-2-4-0-0,-655.6603,186.12146
7,26,0-0-4-2-1-0-0-0-1-0-1-2-0-4-0-0,-650.5116,191.1643
7,27,0-0-4-2-2-0-0-1-0-2-0-1-0-4-0-0,-637.12537,203.15251
7,28,0-0-4-2-2-0-0-3-1-0-0-0-2-4-0-0,-642.18634,196.26639
7,29,0-0-4-0-1-1-0-0-1-0-0-1-2-4-0-0,-650.6781,186.18645
7,30,0-0-4-2-2-0-0-0-2-0-0-3-2-4-0-0,-626.5848,209.73564
7,31,0-0-4-2-2-0-0-1-0-1-0-1-0-4-0-0,-653.5968,182.06888
7,32,0-0-4-2-2-0-0-3-3-0-0-2-0-4-0-0,-630.75354,204.8779
7,33,0-0-4-0-2-1-0-0-1-0-0-1-2-4-0-0,-643.7185,191.6641
7,34,0-0-4-2-1-0-0-1-0-0-1-2-0-4-0-0,-643.7185,191.6641
7,35,0-0-4-0-1-0-0-3-2-0-1-1-0-4-0-0,-654.8096,180.30534
7,36,0-1-4-0-2-0-0-0-0-0-0-2-2-4-2-0,-634.7593,200.08727
7,37,0-0-4-0-1-0-3-0-1-0-1-2-0-4-0-0,-643.28577,189.77983
7,38,0-0-4-2-2-0-0-2-0-0-0-3-2-4-0-0,-623.3762,209.6465
7,39,0-1-4-0-1-0-1-0-0-0-0-2-0-4-1-0,-661.19763,171.00134
7,40,0-0-4-0-1-0-0-1-2-0-1-1-0-4-0-0,-654.1362,177.594
7,41,0-0-4-2-2-0-0-0-3-0-0-3-2-4-0-0,-619.63837,211.16595
7,42,0-0-4-0-2-1-0-2-0-0-0-1-2-4-0-0,-638.4445,191.79419
7,43,0-0-4-2-1-0-0-0-0-3-0-1-2-4-0-0,-624.6116,205.07106
7,44,0-0-4-0-1-0-0-1-1-0-0-3-2-4-0-0,-634.25256,195.29301
7,45,0-0-4-0-3-0-0-3-2-0-1-1-0-4-0-0,-644.4957,184.67694
7,46,0-0-4-1-1-0-0-2-2-0-0-0-2-4-0-0,-645.05023,182.79129
7,47,0-0-4-0-1-0-1-3-2-0-0-2-0-4-0-0,-650.261,177.36967
7,48,0-0-4-0-1-0-0-1-0-0-1-2-2-4-0-0,-635.3661,191.49777
7,49,0-1-4-0-1-0-1-0-0-0-0-3-0-4-1-0,-655.90216,170.79074
7,50,0-0-4-0-1-0-0-2-3-0-1-2-0-4-0-0,-641.20917,185.4349
7,51,0-0-4-0-2-1-0-1-3-0-0-1-0-4-0-0,-641.47217,185.14238
7,52,0-0-4-0-2-1-0-2-0-1-0-1-0-4-0-0,-654.2068,171.52112
7,53,0-0-4-0-1-0-0-0-1-0-1-2-2-4-0-0,-634.41235,190.75279
7,54,0-0-4-2-2-0-0-0-1-1-0-1-0-4-0-0,-642.16736,182.77248
7,55,0-0-4-0-1-0-1-1-0-0-0-2-2-4-0-0,-642.16736,182.77248
7,56,0-1-4-0-2-0-1-0-0-0-0-1-0-4-1-0,-652.7106,171.46968
7,57,0-0-4-0-3-0-0-2-0-0-0-2-2-4-1-0,-630.31024,193.36568
7,58,0-0-4-0-3-1-0-0-2-0-0-1-2-4-0-0,-630.6824,192.02078
7,59,0-0-4-0-1-0-2-1-0-0-1-3-0-4-0-0,-630.83344,191.61479
7,60,0-0-4-2-2-0-3-0-0-0-0-2-2-4-0-0,-605.72656,216.6726
7,61,0-0-4-2-2-0-0-0-2-0-0-1-2-4-0-0,-617.7437,204.33989
7,62,0-0-4-0-3-1-0-2-0-0-0-1-2-4-0-0,-630.20514,191.61021
7,63,0-0-4-0-1-0-1-3-3-0-0-2-0-4-0-0,-642.3068,179.17276
7,64,0-0-4-2-1-1-0-1-0-0-0-1-0-4-0-0,-635.8166,185.19235
7,65,0-0-4-2-3-0-0-1-2-0-0-3-0-4-0-0,-619.8534,201.02216
7,66,0-1-4-0-2-0-0-0-3-0-0-3-0-4-2-0,-626.1626,194.64531
7,67,0-0-4-2-1-0-0-0-3-0-1-1-0-4-0-0,-632.44653,188.20131
7,68,0-0-4-0-1-0-1-2-2-0-0-3-0-4-0-0,-645.9518,174.69278
7,69,0-0-4-0-2-0-2-0-0-0-1-3-2-4-0-0,-615.6084,204.9551
7,70,0-0-4-0-2-0-0-2-3-0-0-3-2-4-0-0,-617.4587,203.035
7,71,0-0-4-0-2-0-0-3-0-1-0-1-2-4-0-0,-636.223,183.75795
7,72,0-0-4-0-3-0-0-1-1-0-0-1-1-4-0-0,-631.6721,187.94894
7,73,0-2-4-0-0-0-0-0-3-0-0-2-2-4-1-0,-630.50134,188.90535
7,74,3-0-4-2-1-0-0-0-0-2-0-2-0-4-0-0,-605.4271,213.57977
7,75,0-0-4-0-1-0-0-0-1-0-1-3-2-4-0-0,-628.31665,190.52965
7,76,0-0-4-0-2-0-1-0-2-0-0-1-2-4-0-0,-635.41406,183.29669
7,77,0-0-4-0-2-0-1-2-3-0-0-1-0-4-0-0,-640.5862,177.50401
7,78,0-0-4-2-2-0-1-1-0-0-0-1-0-4-0-0,-634.9994,183.07324
7,79,0-1-4-0-3-0-0-0-0-0-0-1-2-3-2-0,-622.5449,195.34076
7,80,0-0-4-2-2-0-0-0-2-1-0-2-0-4-0-0,-628.60693,188.793
7,81,0-0-4-0-2-0-1-0-0-0-1-2-2-4-0-0,-631.6074,185.58777
7,82,0-0-4-0-1-0-1-0-0-0-1-1-0-4-0-3,-639.28796,177.82008
7,83,0-0-4-0-3-0-0-2-1-0-0-2-0-4-1-0,-633.9478,182.89258
7,84,0-0-4-0-3-0-0-1-0-0-0-3-2-4-1-0,-624.00385,192.71979
7,85,0-0-4-2-2-0-0-0-0-0-2-2-2-4-0-0,-613.86,202.82181
7,86,0-0-4-0-3-1-0-2-0-0-2-1-0-4-0-0,-636.54614,180.05777
7,87,0-0-4-1-1-0-0-1-2-0-0-3-0-4-0-0,-627.89075,188.51431
7,88,0-0-4-2-1-0-0-0-3-0-1-2-0-4-0-0,-622.9808,193.38155
7,89,0-0-4-1-1-0-0-1-0-0-0-1-2-4-0-0,-625.5246,190.78041
7,90,0-0-4-2-3-0-0-0-0-1-0-1-2-4-0-0,-625.3357,190.90321
7,91,0-2-4-0-2-0-0-2-0-0-0-0-2-4-2-0,-621.96564,194.05704
7,92,0-0-4-2-2-0-0-0-1-0-0-1-0-4-0-3,-610.3616,205.47603
7,93,0-0-4-2-1-0-0-0-2-0-0-1-1-4-0-0,-624.07086,191.40317
7,94,0-0-4-1-2-1-0-0-1-0-0-2-0-4-0-0,-626.1303,189.06999
7,95,0-0-4-0-1-1-0-0-0-1-0-3-2-4-0-0,-634.30457,180.78885
7,96,0-0-4-0-2-0-1-0-1-0-1-1-0-4-0-0,-643.80286,170.79013
7,97,0-0-4-2-1-0-2-0-2-0-0-2-0-4-0-0,-610.72614,203.42462
7,98,0-0-4-2-1-0-0-0-0-1-1-1-0-4-0-0,-640.499,173.13445
7,99,0-0-4-2-1-0-0-0-1-0-2-2-0-4-0-0,-624.36646,188.67912
7,100,0-0-4-2-2-0-0-0-3-0-0-1-0-4-0-3,-604.8502,208.10931
8,1,0-2-4-0-1-0-0-1-1-0-0-1-0-4-2-0,-682.5546,178.96605
8,2,0-1-4-0-1-0-0-1-1-0-0-1-0-4-2-0,-684.88226,171.89644
8,3,0-0-4-2-2-0-0-3-2-0-0-2-2-4-0-0,-632.5504,203.04492
8,4,0-0-4-2-1-0-0-1-2-0-0-1-2-4-0-0,-637.8699,189.79329
8,5,0-2-4-2-1-0-0-0-1-0-0-1-0-4-2-0,-638.3541,187.79295
8,6,0-1-4-0-1-0-1-0-1-0-0-1-0-4-2-0,-664.03864,161.6464
8,7,0-1-4-2-1-0-0-0-1-0-0-1-0-4-2-0,-643.61084,181.55707
8,8,0-1-4-2-2-0-0-0-0-0-1-1-0-4-2-0,-637.54974,185.15974
8,9,0-0-4-2-1-0-0-1-1-0-0-1-2-4-0-0,-631.9465,189.23863
8,10,0-1-4-2-1-0-0-1-0-0-0-2-0-4-2-0,-632.1736,186.55505
8,11,0-2-4-2-2-0-0-0-1-0-0-1-0-4-1-0,-627.8214,186.17293
8,12,0-0-4-1-1-0-0-1-2-0-0-1-2-4-0-0,-624.97626,182.84853
8,13,0-0-4-2-2-0-0-2-1-0-0-1-1-4-0-0,-618.8734,188.44754
8,14,0-0-4-0-1-1-0-1-1-1-0-2-0-4-0-0,-644.95386,162.10866
8,15,0-2-4-0-2-0-0-0-2-0-0-1-2-4-2-0,-613.20605,193.7492
8,16,0-2-4-0-2-0-1-0-1-0-0-2-0-4-2-0,-628.0786,178.19048
8,17,0-0-4-0-1-1-0-1-2-0-1-3-0-4-0-0,-630.7505,172.94055
8,18,0-2-4-2-1-0-0-0-2-0-0-1-0-4-1-0,-622.3406,180.88542
8,19,0-1-4-1-1-0-0-0-1-0-0-1-0-4-2-0,-627.93115,174.74117
8,20,0-2-3-2-0-0-0-0-1-0-0-1-2-4-2-0,-612.12585,189.88156
8,21,0-3-4-0-2-0-0-0-1-0-0-1-2-4-2-0,-618.14703,182.60799
8,22,0-2-4-2-2-0-0-0-2-0-0-1-0-4-2-0,-606.1753,194.1318
8,23,0-0-4-2-1-0-1-2-2-0-0-1-0-4-0-0,-630.5516,169.53496
8,24,0-1-4-2-1-0-0-0-0-0-0-1-1-4-1-0,-618.9662,179.20671
8,25,0-2-4-2-1-1-0-0-0-0-0-3-0-4-1-0,-613.8873,183.86101
8,26,0-1-4-0-2-0-1-0-1-0-0-2-0-4-1-0,-628.2351,168.22032
8,27,0-0-4-0-2-1-0-1-1-0-0-1-2-4-0-0,-611.8367,182.3127
8,28,0-0-4-1-2-0-0-1-2-0-0-1-2-4-0-0,-605.73083,188.37508
8,29,0-0-4-0-1-1-0-2-2-0-0-2-2-4-0-0,-611.0719,183.02023
8,30,0-2-4-0-3-0-0-1-0-0-0-3-2-4-2-0,-595.03577,198.6999
8,31,0-1-4-2-2-0-0-2-0-0-1-0-0-4-2-0,-616.0751,176.8904
8,32,0-1-4-0-3-0-1-0-1-0-0-1-0-4-2-0,-625.59827,166.94865
8,33,3-1-4-0-1-0-0-1-0-0-0-1-0-4-2-0,-606.9419,185.56818
8,34,0-1-4-1-2-0-0-0-1-0-0-1-0-4-1-0,-616.6461,175.70772
8,35,0-0-4-0-1-1-0-0-2-1-0-1-2-4-0-0,-623.2947,167.44746
8,36,0-2-3-0-2-0-0-1-0-0-0-1-2-4-2-0,-595.8771,194.68405
8,37,0-2-4-0-1-0-0-2-0-0-1-0-2-4-1-0,-617.46436,172.10193
8,38,0-2-4-0-1-0-0-3-0-0-0-1-2-4-2-0,-598.3673,190.82
8,39,0-2-4-0-1-1-0-0-1-0-0-0-2-4-2-0,-612.3032,176.46112
8,40,0-2-4-2-2-0-0-3-0-0-0-2-0-4-1-0,-592.1626,195.26796
8,41,0-2-4-1-1-0-0-0-0-1-0-1-0-4-1-0,-623.1636,163.39162
8,42,0-0-4-2-2-0-0-2-1-0-0-1-0-4-1-0,-608.1852,177.73642
8,43,0-0-4-1-1-0-0-3-1-0-0-2-2-3-0-0,-593.7178,191.89413
8,44,0-0-4-2-1-1-0-2-0-0-0-1-2-4-0-0,-599.3519,185.95815
8,45,3-0-4-0-2-0-0-2-0-0-0-2-2-4-2-0,-579.98804,204.52386
8,46,0-1-4-2-2-0-0-2-0-0-0-0-2-4-2-0,-596.70544,187.34964
8,47,0-0-4-2-2-0-1-2-1-0-0-3-0-4-0-0,-603.90125,179.67268
8,48,0-1-4-0-1-0-0-3-0-1-0-1-0-4-1-0,-622.40295,160.53177
8,49,0-1-4-1-1-0-0-1-3-0-0-1-0-4-0-0,-612.5495,169.66225
8,50,0-2-4-2-0-0-0-2-1-0-0-0-2-4-1-0,-609.0011,173.04713
8,51,0-1-4-2-0-1-0-0-3-0-0-2-0-4-2-0,-601.67175,179.67233
8,52,0-0-4-2-1-0-0-0-0-1-0-1-2-4-1-0,-610.4927,170.4995
8,53,0-1-4-0-3-0-0-1-0-1-0-3-0-4-1-0,-612.9065,167.76724
8,54,0-2-3-0-2-0-0-0-2-0-0-1-2-4-2-0,-585.29834,195.20152
8,55,0-0-4-2-1-1-0-2-0-1-0-1-0-4-0-0,-614.07825,166.22752
8,56,0-2-4-0-1-0-1-0-0-0-0-3-2-4-2-0,-597.9625,182.03548
8,57,0-0-4-2-2-0-0-1-0-1-0-3-2-4-0-0,-592.2523,187.42377
8,58,0-0-4-0-4-0-0-1-0-0-1-3-2-4-1-0,-582.06494,196.88132
8,59,0-0-4-0-2-0-0-3-0-1-0-1-2-4-2-0,-598.6813,178.86656
8,60,0-2-4-2-2-0-0-1-1-0-0-2-0-4-0-0,-584.7305,192.70926
8,61,0-0-4-2-2-0-1-0-3-0-0-1-0-4-0-3,-589.3023,187.8342
8,62,0-2-4-2-1-0-0-0-2-0-0-1-0-3-1-0,-594.60925,182.35365
8,63,0-1-4-2-2-0-0-3-1-0-0-0-0-4-2-0,-595.8889,181.02806
8,64,0-1-4-0-2-1-0-0-1-0-1-4-0-4-0-0,-590.4943,186.28189
8,65,0-2-3-2-2-0-0-1-0-0-0-2-0-4-1-0,-582.96533,193.50447
8,66,0-0-4-2-2-0-0-1-1-0-0-1-0-4-1-0,-598.49414,177.285
8,67,0-0-4-0-2-1-0-1-0-1-0-1-2-3-0-0,-603.15125,172.58922
8,68,0-3-4-0-3-0-0-1-0-0-0-1-2-4-3-0,-603.00256,172.73457
8,69,0-0-4-1-1-0-0-3-1-0-0-1-0-4-1-0,-607.2517,168.46034
8,70,0-1-4-2-2-0-0-2-0-0-0-0-2-4-1-0,-591.8137,183.49675
8,71,0-0-4-0-1-0-0-1-1-1-0-3-2-4-0-0,-600.5414,174.1339
8,72,0-1-4-0-1-0-2-0-0-0-0-2-2-4-1-0,-583.1964,191.35081
8,73,3-0-4-0-2-1-0-1-0-1-0-2-0-4-0-0,-595.74133,178.6305
8,74,0-3-4-2-1-0-0-0-1-0-0-1-0-3-2-0,-595.0746,179.22513
8,75,0-0-4-2-2-0-0-3-0-0-1-2-0-4-1-0,-588.60455,184.7726
8,76,0-1-4-3-1-0-0-0-1-0-0-1-0-4-2-0,-598.7414,174.1323
