Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,target
0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0.2172180293685484
0,2,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0.455198407717891
0,0,0,0,0,0,0,3,0,0,3,3,4,2,0,0,0.8594755322991277
0,4,0,4,0,0,0,0,0,0,0,2,0,0,3,3,0.5107845108788466
0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,-0.07952547777543695
4,2,0,2,0,0,0,0,4,0,0,0,3,0,4,0,1.4614732827793708
0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,3,-1.385711899427402
0,0,0,2,0,0,4,0,0,0,0,0,4,0,0,2,0.1671094157611721
0,0,3,0,0,0,0,0,0,3,4,4,2,0,3,0,0.455509656565007
0,3,3,0,1,0,0,0,0,0,0,1,0,3,3,0,-2.6779174476684857
4,0,0,4,3,0,3,0,0,0,4,0,0,0,3,0,1.4826618952403987
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.26043913896008153
0,1,0,0,4,0,0,0,0,4,0,3,0,0,0,0,0.4725866799248916
0,1,0,0,0,0,0,0,0,0,2,2,4,0,3,0,0.5735816207943804
0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,3,1.0267133774073416
0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,-2.1685738224959046
0,0,0,0,1,1,0,4,0,4,0,0,0,0,3,3,0.697640019542565
0,0,1,0,1,0,0,0,0,0,0,0,4,2,1,0,-0.7502822649067877
0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.46860695982332073
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1.500853549707679
0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,0.6650054553835207
0,1,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0.44497457747731706
0,0,1,4,0,0,0,0,0,0,1,0,0,0,1,0,-0.4943548368926297
0,1,0,0,4,0,2,0,3,0,0,0,0,3,3,0,0.8036435343796893
0,1,3,4,3,0,0,0,0,0,0,0,0,0,0,4,0.9618943753747149
0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.5005227602605475
1,3,0,4,2,0,0,0,0,0,0,4,0,0,0,0,-0.39178159478264657
